Nickname,Verified,CommentCount,PlayCount,ShareCount,Duration
Luca & Friends,False,82800,21900000,122700,8
Kajsa Alte,False,86800,23100000,288800,12
Brodie Pawson,True,35000,41500000,81700,20
Dr. Tim,True,18900,37900000,71600,15
DADDY MING,True,10200,32000000,43700,20
MING,True,5875,36400000,9707,34
Edward centeno,False,7309,37600000,615200,34
prince,False,10700,56400000,103200,10
Grace Page,True,16600,51600000,47000,15
Mady,False,13500,48500000,114000,9
Harriet Pavlou,True,11000,76200000,80700,14
Spencer X,True,94400,226300000,167100,16
Or Zuti,True,86100,243800000,281300,11
Haley Blazek,False,53500,66100000,323500,44
Grant Rigatoni,False,213600,66800000,355200,7
Joey Klaasen,True,21100,126700000,80300,10
Kirya Kolesnikov,True,74900,159000000,155800,57
Doby & Blue - Corgis,False,36100,131500000,162000,10
Nyyear Price,False,36000,173200000,29700,26
Spencer X,True,15600,146800000,72100,11
Kirya Kolesnikov,True,94600,136700000,108500,26
Dev & Montyy,False,67300,51700000,150000,19
Mike Hammer,False,44200,138400000,297700,59
Spencer X,True,20500,105800000,67500,9
Shayan,False,108600,74200000,537400,17
Fitness Tonya,False,52900,187700000,76300,21
Joana & Kelvin,False,82400,58100000,128800,37
Topper Guild,True,23200,100800000,56000,28
Appie,True,37500,118800000,78100,17
Fitness Tonya,False,33400,130200000,47200,21
Kirya Kolesnikov,True,42800,57400000,18500,44
Samuel Grubbs,True,214600,169500000,433300,14
activesufi,False,50000,140800000,68500,8
David Beck,True,116700,185200000,225300,11
K9 Arlo,False,201600,100500000,404400,53
GnB,False,66500,85000000,291600,59
Hanya Ismail,False,256900,172700000,541100,10
EmIly,False,256000,43800000,759300,9
Dimpey,False,135100,58200000,591600,59
Prokop,False,335900,73500000,773100,10
Whamoscruz01,True,273200,98400000,464500,35
ohhyejin,False,134700,118400000,113000,13
Thistourettesguy,True,187200,73300000,768600,59
The Chinfluencers,False,73900,56100000,243700,5
Shaquan Parson,True,66900,62000000,80200,14
Devon Rodriguez,True,69200,58600000,91300,58
alexanderjo91 ✌️,False,47900,173300000,18800,120
CS99TV,False,15800,111800000,20900,23
Samuel Grubbs,True,103000,65200000,190400,18
The Carlin’s,False,74900,63200000,279600,144
The Chinfluencers,False,54500,61700000,197000,11
Terrible twins 69,False,15800,39600000,46600,14
Jo Gma Beck,False,8819,51400000,5930,47
KaydeeBug,False,50800,25000000,40300,22
yo ying,False,40100,19800000,146700,37
DANIEL MACHI GOLD,True,13600,27100000,40400,60
Kellysalpeter,True,18400,19100000,77300,67
Miyaeva Renae,False,20500,10900000,83600,59
Lindo,False,32300,16500000,12700,29
shayna,False,23400,8300000,13700,34
Kellysalpeter,True,23200,15100000,16500,81
Tik Toker,False,31300,24400000,115700,19
Amy Boiss,False,5985,27100000,16100,58
,False,12300,24600000,14000,19
Will_n_JaeEats,False,9212,33900000,23200,11
HughG_Wrecktion,False,10300,7200000,27300,25
Reaction Ryan,False,5020,31000000,33400,8
bayla,False,7477,11300000,13400,8
TheNataliniShow,False,5542,29900000,2498,60
dailypranker,False,876,4200000,2273,28
Funny videos,False,26300,24600000,12500,10
Sara Matthews,False,250800,162200000,922600,12
cute_cheese,False,35800,144400000,192200,42
IamPéts,False,55300,106100000,323000,25
Jenny Nelson,False,123000,79600000,1500000,21
Gangrottie,False,77800,87900000,312600,12
LunaTheFluffyPuffy,False,85500,60300000,463200,10
boscoandhisbigstick,False,52200,57800000,333100,17
funny_v.i.p,False,52700,93200000,455500,41
joker,False,101400,47600000,342600,162
funny_p.e.t,False,28800,72600000,138000,20
funny_p.e.t,False,40200,62200000,120800,45
FootballAdvanced,False,53800,93200000,279900,11
Hecate cat,False,81300,46500000,181800,10
Joey and Steven,False,20500,49600000,29900,73
Memes We Love ❤️,False,56200,51300000,263600,12
Josh Nasar,False,20100,68700000,97100,12
Outsider,False,95200,46800000,311300,32
El Calentano,False,74900,110900000,447600,13
BettyMae Labadia,False,175600,72400000,279800,16
supercats,False,77800,82600000,183900,15
Min,False,88000,46000000,51400,40
Jo Gma Beck,False,8819,51400000,5930,47
Kat,True,54900,43200000,418600,54
Oregon-babe,False,55,73300000,368200,15
Hans2022,False,13500,37200000,6302,206
dot_fvnky,False,8103,41400000,25600,44
Mini,False,715500,22200000,433900,9
Gunjan,False,14400,25800000,163000,42
Viddd.,False,15300,42500000,33400,43
Brian Pendleton,False,37500,23200000,250700,9
Zahid Khan | زاہد خان,False,4539,74700000,88300,13
dot_fvnky,False,13200,35300000,46600,40
Popstar evolution,False,8261,17300000,10300,14
LEYGMAN.,False,2910,42700000,109900,12
Metzi✌,False,13000,15800000,36500,19
randomdudewithrandomvideos,False,45400,16900000,82300,150
J@y@,False,27800,18100000,43700,15
Mariam’sFungibleBunch,False,12200,24300000,70500,15
Lynea D'Aprix,False,60300,16000000,45700,55
DerEineMario,False,10400,8800000,21000,22
kado,False,9616,16900000,46900,31
TED Talks,True,74,163700,1172,96
Sam and Monica,False,11700,12500000,34100,36
Lizzy Vee,False,12500,11500000,55200,15
Hannah & Regal,False,2297,10300000,22700,20
Ask Kimberly,True,4758,7700000,4231,75
Jiayang,False,11000,5800000,25500,44
Lexi Natoli,True,1659,5200000,9344,22
King Trout,False,9471,8300000,70600,28
Hannah & Regal,False,2317,8400000,5882,16
Bryan,False,135400,50100000,377800,58
LGNDFRVR,True,35800,78300000,138600,41
LGNDFRVR,True,43700,65300000,231600,27
Brandon Robert,True,40800,43200000,59300,42
TAYLOR & SOPHIA,False,60200,50000000,98600,96
Roseykoifish,False,75900,29700000,208800,57
TheRealHammyTV,True,53500,64100000,198500,13
Kyle and Jade,True,42700,35100000,142300,51
Janelle & Kate,False,22600,53800000,122600,58
TheRealHammyTV,True,50600,65300000,397100,16
intrepidfred,False,53700,9500000,34000,126
Smile When Awake,False,2499,3400000,7739,33
Koko,False,11900,2400000,30100,8
Courtney <3,False,15600,1300000,17900,8
@Jondo_جوندو,False,247,1900000,612,28
☆Random things☆,False,11800,1100000,8742,14
venividivicifactotum,False,1923,1200000,7525,60
,False,79,2400000,462,13
miklosmaheu,False,2674,1400000,534,12
rehankhan.14,False,166,1400000,15900,10
AWM,False,2112,745300,2632,26
rehankhan.14,False,73,1500000,13400,10
,False,5528,471000,9339,9
alana,False,5153,418200,4569,8
✨Leave✨,False,9654,622800,4192,6
Vincenzo,False,1382,1600000,2614,5
‍CONTENT CREATORS‍,False,100,754300,180,43
Vincenzo,False,266,822400,643,6
aarti ❤️,False,707,1100000,844,47
noresS,False,839,373800,596,36
Hassanalhajjaj,False,33300,15400000,54300,9
Aaron Parker,False,11700,26000000,10400,7
Quin Stott,False,3958,3100000,2385,17
Razi Khan,False,4635,8800000,118900,39
Razi Khan,False,4652,7500000,67300,54
Hassanalhajjaj,False,16500,4900000,41100,10
Ulboss,False,1975,2700000,2503,22
Razi Khan,False,2849,4500000,37100,44
Razi Khan,False,2659,6200000,58500,25
robin.rhodes1,False,875,10800000,51800,5
Nancy Gonzalez,False,4112,3500000,15100,15
Jennifer Conforti,False,1357,3200000,933,13
Marissa Arnone CPT,False,442,1800000,6639,24
Harriet Pavlou,True,2076,6200000,866,12
eims,False,2284,2800000,34900,51
Lisa,False,5822,2600000,1234,6
Indy l Life Coach,False,69200,1700000,3494,50
Razi Khan,False,2375,4700000,55000,41
Cali Baby,False,2014,1800000,8851,73
Neki ☺️,False,8184,1900000,308,6
William Li,False,1947,13300000,3760,12
Janet Lecuona,False,1393,2800000,2163,19
Chantz Ramos,False,487,1800000,1698,48
allie bennett,False,2583,3600000,4201,40
Noel Deyzel,True,1652,3900000,1504,11
Amaury Guichon,True,9787,34600000,23000,60
lex_hess,False,2974,2300000,3032,57
Yahya Bashir,False,4296,3800000,12700,13
ubrZati,False,438,1900000,419,7
Tim McGraw,True,2367,3000000,24100,56
maddy,False,1849,3700000,4857,43
NaomiRenea,False,674,2300000,9101,8
Ashton Kotlar,False,334,6600000,313,9
Danielle Jackson,False,1179,2100000,3396,48
Banksy,False,475,2300000,1893,26
Bev & Haily BeatBoxing Fitness,False,576,2100000,4021,18
lexieherod,False,579,3200000,1213,15
Adam,False,1247,2000000,6911,27
Minny Hustlers,False,981,2100000,4914,17
Biagio Lazaric,False,1900,2400000,3665,10
sgretols,False,82600,115400000,73800,13
controldevil0,False,135000,107600000,141300,8
Sherein Abdelhady ⚡️,False,38600,42400000,64700,26
Kara Lewis,False,49900,42300000,18200,60
MamaSwole,False,36200,59000000,65100,27
GrinchTok,False,19600,63500000,188300,19
The Johnson Brothers,False,44500,30400000,248800,53
GTELLO,False,23400,42300000,49100,20
Evgen Sein,False,37600,74800000,78900,18
caraline rose,False,23600,30200000,12900,7
Mike Caponera,False,43900,19700000,38500,52
Gutiérrez Jennifer,False,12900,24300000,25600,15
Sully,False,58600,22800000,64000,15
Average Quad Guy,False,18600,25200000,94600,64
אלוף הסרטונים נודר,False,7963,62100000,18400,96
taha.,False,72000,27300000,69800,5
Duy Đức,False,16500,47000000,36500,18
user1468626853971,False,33500,87200000,256100,10
R.Cumpio,False,28300,27900000,61900,14
justfitjustice,False,18100,45400000,24100,29
Missgoyal,False,3607,37600000,114300,13
iamsurvivingvegan,False,8484,12700000,21300,15
SAURABH GOOMBER,False,8139,27900000,387600,59
ashley.carter4,False,3985,5600000,15300,14
user8347682949853,False,3063,2800000,14600,59
Toni,False,9401,3100000,67600,54
Priya Sharma,False,2623,3500000,41100,45
Josh Adams,False,3468,7500000,56000,37
Amy Chang,True,2059,3000000,38000,34
SAURABH GOOMBER,False,2560,7500000,139200,59
Jsuper Kaur,True,1112,4200000,12500,48
Dtra. Isabel Moscoso E.,False,3797,3000000,32000,38
Didi Baini Limited,False,1002,7700000,77500,15
SAURABH GOOMBER,False,1092,4200000,65200,26
Lisa P,False,3263,2200000,34200,46
SAURABH GOOMBER,False,978,6800000,4906,58
marcella.nash0,False,367,14700000,71800,6
Jsuper Kaur,True,766,3200000,31000,40
jessie.parsons0,False,532,12200000,55300,5
Gaurav Jain,True,415,794000,94,53
Ryan Izquierdo,False,93200,81800000,262000,12
Brittany Negler,True,97800,57600000,194600,55
Darion George,False,39900,14800000,48800,36
DANIEL MAC,True,6830,29300000,12700,59
♐︎,False,139200,12800000,423900,14
Richard M. Spencer,False,30900,27600000,726000,58
Nicoowwcars,False,27800,20600000,44700,26
,False,38200,12600000,36600,9
KengiBeLaughin,False,24600,11800000,96800,47
nabela,True,15100,15200000,31500,16
sofiakralow,False,25300,21500000,42500,12
MonacoLuxuryLifestyle,False,7826,50200000,16600,9
MonacoLuxuryLifestyle,False,19600,26700000,59300,11
Steve & Meredith,False,4425,17400000,39300,8
billy,True,19400,15400000,31200,24
Pilot ✈,False,12900,47300000,19700,15
CHOMElive,False,43600,49000000,87200,170
Sarah Dame,False,51600,10900000,103500,29
kerry & ju,False,8865,11200000,31200,14
Summer ✌️,False,47000,19600000,121500,31
Leeanna Thomas,False,250300,127700000,448300,18
dr ryan,False,38700,150200000,25400,26
Joshua Monis,False,53900,103900000,79700,56
Joshua Monis,False,47500,110600000,70100,57
Miyaeva Renae,False,29800,40600000,100000,59
Noemi Nikita,True,30300,82800000,23700,15
Skincare trial,False,41800,122300000,106700,38
raffray01,False,85200,61700000,72100,36
Joshua Monis,False,57500,40800000,22000,58
Miyaeva Renae,False,24100,34700000,49400,59
kaeli mae,True,35200,40500000,60600,41
TheSalgueroFam,False,20200,51000000,36100,26
Victoria Lyn,True,38000,42000000,66100,56
Layal Assi,False,83500,49000000,122100,57
Joshua Monis,False,53200,35500000,33400,57
darcey angel,False,28100,63900000,25900,15
Miyaeva Renae,False,18100,29500000,83400,58
Nadina Ioana,False,22200,39700000,19500,43
Emily Samantha,False,25800,21900000,39000,59
GenoaSkin,False,17900,57200000,54700,14
Flexwitlana_,False,69,79600,291,15
bballiq,False,17,48800,148,23
Mary | The Joy Coach,False,87,81900,1626,90
Raijay Jason,False,36,54500,377,25
Océane Andréa,False,14,40200,0,5
CARMELA,False,31,71700,188,55
Mohammad Malallah,False,156,51800,154,356
Mary | The Joy Coach,False,22,35300,553,58
makenna,False,19,21300,255,25
atomicblonde,False,0,9225,0,9
Mary | The Joy Coach,False,34,20500,384,59
Mary | The Joy Coach,False,33,21700,444,89
,False,76,17000,65,15
Sami Clarke,False,2,28000,52,13
Teagan Dixon,False,6,20700,109,27
Life By Mel❣️,False,25,27300,13,15
FitOn,True,5,18700,152,21
Justtcocoo,False,0,32500,73,15
Mary | The Joy Coach,False,35,15600,210,74
̶D̶J̶ ̶G̶L̶E̶N̶N̶E̶R̶ ×͜×,False,17,9544,2,11
Football265✔,False,49900,123200000,211500,17
nekao_official,False,78700,79300000,24100,58
CS99TV,False,15800,111800000,20900,23
Football,False,79800,52500000,117800,15
TNX Football,False,19400,99600000,71400,50
Manchester United,True,59700,88100000,78100,7
FootballAdvanced,False,53800,93200000,279900,11
sport_moment,False,23300,65100000,132300,15
Nguyễn Hùng,False,29800,85100000,33500,22
Tuvok12,False,11300,68100000,12600,33
Tuvok12,False,5653,76100000,9101,25
FB.Tv,False,35500,69500000,178200,12
CS99TV,False,16700,88700000,8606,23
messi.magic,False,19200,54500000,27300,26
_idlaw_,False,9916,96200000,4218,57
JOACHIM,True,40300,49800000,41000,24
Football Freestyle champion,True,30600,69600000,26500,39
Footballtobreathe,False,36300,91500000,26200,0
Manchester United,True,32400,63200000,155300,0
FUTT.4K⚡️,False,20000,43200000,87200,41
You1stlondon,True,9827,25500000,54800,11
aaron.gasparotto,False,5842,13300000,18000,31
Abby,False,3330,10500000,3744,154
Topofthefoodchain,False,6437,10300000,17700,15
Camilo,True,7341,15100000,10600,15
Patty,False,10300,10600000,12500,15
Its.sienna_,False,2698,9200000,74000,24
HarteSisters,False,6361,11200000,123600,51
enjoy skateboard,False,2726,9400000,1608,35
Siddharth Rai,False,742,15500000,564,19
The Vijay singh,False,3043,8700000,4504,16
Melissacapp,False,6475,13500000,76400,8
Siri Price,False,3253,5100000,10700,15
Majah Resuello,False,3303,8000000,21300,23
You1stlondon,True,2004,7000000,13300,11
Vicky Plamenova,False,6458,7200000,36200,15
You1stlondon,True,2579,10000000,4276,12
A L E X A N D R A  Y A E G E R,False,8774,18800000,88800,15
Jason Derulo,True,2797,6900000,20700,14
Tyler Csatari,False,1352,4100000,911,31
Matteo,False,6477,26400000,7750,8
Matteo,False,7215,29200000,7191,6
Eva Koper,False,6884,19700000,5163,10
Jalal,False,3903,16600000,13400,15
Jalal,False,7710,12100000,13900,15
Kyle McGran,False,16700,60400000,122600,26
mia challiner,False,6397,9700000,1535,10
Liv Kaplan,False,3351,11400000,11200,20
Jalal,False,4120,11200000,7021,15
wellnessbykay,False,6001,16300000,187500,59
Josh Kibbey,False,6878,8800000,23600,8
gatherednutrition,False,8113,8500000,10400,13
twincoast,False,4861,8800000,4350,11
Eva Koper,False,3585,9200000,4889,12
Surthany hejeij,True,9286,12100000,11500,50
Marina,False,10600,14200000,3494,9
SurvivalMattin,False,34300,16900000,73900,7
christyleefit,False,2202,7800000,2630,15
Emados,False,13000,11300000,9026,169
Marina,False,12000,10600000,10200,9
ThatLittlePuff,True,117600,298500000,120500,26
ThatLittlePuff,True,92300,102500000,65600,25
ThatLittlePuff,True,14800,145300000,40500,29
ThatLittlePuff,True,20600,136600000,28600,24
Ms Shi & Mr He,False,39300,84300000,403000,44
simplefood4you,True,40100,84600000,687500,17
ThatLittlePuff,True,30800,45600000,15400,29
Just brad,False,56200,59300000,101400,39
Cici Soriano,False,30800,35300000,756600,58
simplefood4you,True,27000,81000000,358600,24
Gordon Ramsay,True,60600,25200000,61700,59
Foodqood by Giallozafferano,False,37100,47400000,122300,22
HoneyBobaBear,True,20900,23000000,422100,59
Joshuah Nishi,True,14500,30900000,342600,58
Abir e sag,True,40300,23700000,25100,59
Wick’d Confections,False,24600,24700000,29100,60
HoneyBobaBear,True,2818,35700000,7483,44
Shereen Pavlides,True,18900,28100000,347900,43
HoneyBobaBear,True,16500,18100000,78800,48
Gordon Ramsay,True,14000,24000000,31900,41
,False,154800,167400000,314100,10
Sam Way,True,143100,132500000,209300,52
ROMINA,True,14900,138900000,16600,30
Julianne Gouvea,False,32400,51300000,36000,60
Ms Shi & Mr He,False,39300,84300000,403000,44
GetDownWithSeanAndMarley,False,69200,81300000,209000,19
Sam Way,True,82900,61100000,42200,53
Josh Harmon,False,10600,93600000,27500,24
simplefood4you,True,40100,84600000,687500,17
Jessssie Gov,False,167500,39000000,201200,15
Sam Way,True,64600,37700000,64400,58
metadigital,False,33100,92300000,115300,126
Sonny Hurrell,True,43300,40800000,343800,59
Just brad,False,56200,59300000,101400,39
Carvell,False,43200,28500000,137700,15
B. Dylan Hollis,True,41700,26200000,219800,44
Bella Avila,True,39400,66800000,86100,33
Big man cooking,False,14200,72700000,89000,33
Thetinychefshow,True,62900,32000000,207000,32
rafael,True,24000,82400000,30700,25
Sam Way,True,143100,132500000,209300,52
ESHA,False,56500,66400000,57900,24
Pizza_4_Me,False,46700,82800000,87300,22
Sam Way,True,82900,61100000,42200,53
raising.wildlings_,False,52600,50800000,425700,14
nina,False,42800,36300000,355900,29
simplefood4you,True,40100,84600000,687500,17
Shannon,False,7927,82500000,4603,30
Sam Way,True,64600,37700000,64400,58
Foodie,False,21100,150900000,478100,19
,False,73700,54100000,144500,33
Julie & Bella,False,21800,26600000,86900,58
simplefood4you,True,27000,81000000,358600,24
Mara Brown,False,124400,19800000,180200,59
JuanDeMontreal (PakBambang),False,31100,46900000,13800,59
TUBA GEÇKİL,True,64100,33600000,62800,19
Sam Way,True,30100,31800000,24300,56
Pizzazz master,False,17700,36700000,17900,10
Cugini Pizza,False,45500,38900000,70200,39
Marcel Monroe,False,13100,18000000,35700,55
バヤシBayashi,True,141800,302300000,189500,59
バヤシBayashi,True,121300,243700000,244800,59
Wallace W,False,166000,141900000,136900,29
バヤシBayashi,True,106100,132300000,112500,58
バヤシBayashi,True,57800,219700000,73700,57
Gordon Ramsay,True,126700,132200000,292400,15
subasx,False,18900,276900000,27700,18
バヤシBayashi,True,66600,118100000,48300,51
foodie beats,False,37800,141300000,241900,21
バヤシBayashi,True,67000,110300000,73700,37
バヤシBayashi,True,53000,101300000,29700,39
バヤシBayashi,True,82800,67000000,60000,34
バヤシBayashi,True,31800,70800000,43200,55
バヤシBayashi,True,29900,67600000,100200,45
TTFDcz,False,42700,78700000,42600,21
バヤシBayashi,True,54100,68600000,56200,26
バヤシBayashi,True,73500,60900000,34800,27
オムライスのプロEggToker,True,28400,72700000,28300,44
バヤシBayashi,True,80500,66000000,45000,59
バヤシBayashi,True,48100,52200000,24100,56
J A D E N,False,37900,47500000,93000,14
Aubree Jones,False,68100,50400000,379400,15
Madara Dusal,False,54400,38900000,102700,13
JVKE,True,19300,28400000,19100,60
пıκκı,False,19300,35300000,103300,18
Irish B & Ammar Z✨,True,29300,55500000,28000,15
Unreal Jason Statham,False,30700,33000000,20200,20
L 2B,False,90800,19300000,231500,5
Tito Lizzardo & Catty B,True,33800,25000000,154100,11
AlexPresley,True,10800,23200000,36400,13
Ria & Viktor,False,6561,21900000,4063,35
Smac,False,26200,13200000,87500,56
gabriela,False,8808,15700000,25800,51
Bunnydayoff,False,35000,14000000,207800,15
X-MELLO OFFICIAL,False,42900,20800000,124700,15
Bob’s Dance Shop,False,30400,17300000,110500,60
Erica Coffelt,False,22600,13600000,14300,12
Taylor Nunez,False,11700,16700000,39000,14
Titos Tsai 笑炎舞者蔡宏毅,True,13500,12000000,26700,9
withikonic,True,45400,11500000,47100,21
alina,True,3539,11900000,31900,14
Marco,True,1794,9300000,20800,14
AnabelundMaria,False,2008,5100000,5539,15
Leonie & Sophie,True,1387,5000000,3888,14
schmoms.halde,False,786,8700000,1312,16
Mary,True,19300,3700000,11500,14
skrudlik,True,1689,1900000,500,14
Manjul Khattar ⚡️,True,3421,3800000,3807,14
Gerald Huston,False,998,1100000,2414,22
kevoCkris13,False,434,1300000,1950,18
NecronXVII,False,732,1500000,1877,15
yağmur özkavak,True,1128,2700000,228,23
ESRAa,False,1424,4700000,4269,14
@23_The_Attitude_Boy,False,210,1900000,3034,10
Ahsaas Channa,True,308,2200000,1075,14
nikkbisht04,False,384,7900000,4913,15
Мой !nst - @webdewka ⬅️,False,4561,1400000,2213,15
,True,515,2100000,2696,14
Yalçın akdoğan,True,890,3700000,5052,14
#hAriom rathor,False,466,938300,1004,15
i draw¿,False,8179,14600000,7652,12
DBK (Double K'),False,20900,13800000,33500,6
Robin,False,3229,11200000,1232,11
Mark Neil Castro,False,30600,46200000,118700,10
DBK (Double K'),False,5938,9100000,8039,17
ARTBEAT,False,4969,9300000,8537,39
Mark Neil Castro,False,15500,25400000,39000,28
CALL TEAM DC,False,26000,8700000,36800,45
offtopicdancestudio,False,1689,25700000,1585,10
Gayles,False,12100,7700000,3582,68
SKYBEAT,False,2096,5100000,2825,20
ARTBEAT,False,2564,6400000,2441,83
ARTBEAT,False,3536,6000000,1622,75
Riva & Lev,False,1502,3800000,2650,35
Đỗ Phượng,False,3103,6600000,1088,22
samira,False,1060,4600000,1461,21
Caroline,False,5006,4500000,2785,69
ELEFTHERÍA DC,False,12100,7000000,9820,15
haikook,False,2519,7500000,2126,11
Eye Candy,False,3678,5600000,4076,21
Alone heart,False,16900,57000000,39800,12
hope marie,False,134500,19000000,74400,15
Manisha Sati,False,14100,24900000,16700,20
Alone heart,False,9638,29500000,21300,18
Hollywood Dance Shoot,False,819,17000000,706,13
Dev Vashist,False,7762,27700000,71400,15
jajavankova,False,2182,12100000,3443,19
Manisha Sati,False,8399,19200000,12400,16
mimi,False,9345,7300000,17100,59
Claudiazurita,False,41800,5100000,60300,11
CHiSHiKuZaN,False,6175,18400000,37800,16
gangu,False,3418,29100000,18000,15
Alone heart,False,13600,22900000,5648,10
Hritik Joya,False,1884,10200000,27000,10
Adah Sharma,True,2299,8900000,1628,19
Ashu Sharma,False,998,14000000,1949,13
mariepoppinsdancer,False,2123,11800000,10200,11
ТАНЦЫ•МУЗЫКА,False,22900,14000000,96800,17
Riya Timsina,False,5633,13900000,6398,14
Deepak Devrani,False,2275,6900000,4581,22
JARNOTH,False,599600,209900000,583000,14
Blayk Rose,False,100000,52600000,216800,60
Alex Wong,True,33500,42900000,79700,11
JJ’s Fashion,False,47600,43500000,59300,15
Fallon Delaney Amey,False,99200,45000000,111600,109
Scarlett Estevez,True,36700,25800000,24200,11
Jose Ramírez,False,45400,50700000,139200,23
Nic Suarez,False,58100,19500000,52000,14
Gaby Mesa,False,16900,35900000,13000,10
Hannah Elizabeth,False,7254,20500000,3808,59
tonyrds,False,14300,27800000,13100,15
Colette,False,2320,37300000,66600,15
Hail Bail,False,9778,15800000,10100,59
Nicky M✨,False,27600,21300000,30000,15
Fidi aja,False,34500,41000000,69200,14
Best of Vogue™,False,47000,22200000,164200,40
Official Arts Help,True,21900,30400000,130500,14
✨DanceMomsWorld✨,False,13200,13600000,5129,115
Bijay baniya,False,8479,36600000,92700,14
Bijay baniya,False,7017,39700000,36900,14
Salavat Fidai,True,12400,57400000,16800,15
michaeljackton.official,True,49500,64800000,40200,32
willow sky,False,168500,40100000,696600,57
FUXiNO,True,46000,67200000,257100,19
Sahil khan,False,9827,52400000,44000,24
Obslette,False,22100,33800000,159200,23
Shilpa Shetty,True,9481,57700000,19900,15
Rocky,False,20000,39600000,42200,13
rinkomaniaa,False,57100,43400000,341100,17
柊ーVolvy,False,59000,29200000,1200000,13
.00h02.m,False,113700,21400000,200700,9
annagraziamasia,False,16200,21400000,24800,14
Salavat Fidai,True,17200,25800000,17800,14
Mariam’sFungibleBunch,False,41300,27800000,42000,10
Maytree 메이트리,True,12200,24500000,14700,35
stasyasingerr,False,37700,25200000,19200,14
annagraziamasia,False,40600,17000000,54600,50
Salavat Fidai,True,7684,34000000,27100,6
Stagson,False,21500,16900000,39400,38
Capcut edits,False,69000,16900000,101500,14
Lily,False,73400,97000000,51800,21
Franek Bielak,True,87200,66300000,68900,28
Julia Gisella,True,97200,62500000,52500,46
Mimi Choi,True,79700,149700000,179200,19
Cozyyyy,False,231400,74800000,564000,34
jackie,False,61500,54200000,80300,59
rio,False,151800,104800000,313500,7
Brian Koro,False,19500,88800000,28000,44
@Jordi.koalitic,True,13400,124400000,337400,24
achesdub,False,28200,59100000,60400,54
tonesterpaints,False,20200,35700000,23700,59
Kevin D,False,50000,69400000,22000,13
Maayan,True,14200,63700000,47200,12
Megan,False,20300,26600000,10800,15
@Jordi.koalitic,True,11300,243000000,186400,21
Kevin D,False,70800,35800000,69900,15
James Lewis,True,33100,35900000,26900,14
Nature Artist,False,19300,33800000,11300,48
James Lewis,True,37600,53400000,87000,14
Lydia Fenwick,False,33400,27500000,227600,59
h3rizonmusic,True,117200,75600000,123900,14
axandra,False,99500,60900000,84300,48
NDJ,True,40100,96200000,46000,29
Xavier,False,105900,53200000,226300,11
Xxtentacion,False,40700,111000000,25200,20
KINGS,True,44100,78500000,214600,30
NDJ,True,63800,68800000,104400,19
Sami,False,74300,53300000,300500,18
jonklaasen,True,31300,65100000,59900,12
Cameron Goode,False,164000,49300000,279200,24
NDJ,True,62500,55800000,59100,11
Lauryn,False,70500,31800000,89100,67
Evolix,False,26300,32100000,45800,28
NDJ,True,20500,61200000,21900,10
Sarah Cothran,True,59400,44400000,149800,20
willow sky,False,168500,40100000,696500,57
,False,99400,36000000,190600,9
Grace Groski,False,65700,40300000,132300,59
Sorellé,True,25300,52900000,132300,18
♡ Gege Jing ♡,False,41900,27000000,183200,20
Beauty khan,True,43900,91400000,101000,11
Beauty khan,True,32300,93400000,66000,14
Arnaldo Mangini,True,77700,137300000,423600,14
J A D E N,False,37900,47500000,93000,14
Doja Cat Fan Account,False,15400,30900000,30600,14
EMDCLASS,False,53400,37700000,268800,39
ishu Gangore,False,9262,65100000,46100,15
Fierce Fitness Ty,False,51900,33000000,432100,30
Beauty khan,True,10800,43200000,17400,10
Erica Coffelt,False,22600,13600000,14300,12
Beauty khan,True,12300,30500000,21400,15
Doja Cat Fan Account,False,6452,15100000,12700,26
Beauty khan,True,17500,25100000,23600,15
Beauty khan,True,14900,32500000,10400,15
John Di Domenico,True,19500,38700000,77500,15
dance tutorials ✌️,False,5400,16700000,198000,27
Beauty khan,True,12200,35600000,17200,12
jules,False,7317,8600000,53000,48
Beauty khan,True,17100,27400000,10400,14
John Di Domenico,True,32600,28500000,48500,10
